TC_Horas_RyA,Cantidad_RyA,TC_Horas_Limpieza,Cantidad_Limpieza,TC_Horas_Pintado,Cantidad_Pintado,TC_Horas_Test,Cantidad_Test,TC_Horas_Encajado,Cantidad_Encajado
51.65,3878,2.89,320,9.42,338,3.76,312,3.11,289
39.97,3052,2.69,329,7.76,270,3.94,318,2.82,288
52.29,3791,2.93,303,8.33,285,3.88,293,3.11,263
51.66,3921,2.37,312,6.84,259,3.17,303,2.66,281
40.31,3216,2.69,334,8.85,322,3.72,320,3.33,300
50.26,3763,2.78,338,7.17,273,3.83,326,3.08,287
40.31,3187,2.98,321,8.02,313,3.67,313,3.03,272
45.45,3379,2.56,355,9.62,348,3.96,345,3.28,312
47.51,3492,2.56,294,7.49,298,3.81,282,3.66,264
39.76,3040,2.92,303,9.64,348,4.33,296,3.16,274
41.15,3156,2.59,293,7.84,285,3.36,280,2.86,266
38.33,3014,2.92,373,9.31,331,3.95,360,3.61,315
52.72,3812,2.82,333,11.16,345,3.58,321,3.09,302
40.86,3064,2.56,346,7.33,273,3.05,333,2.62,300
50.92,3856,2.55,325,7.67,272,3.1,311,2.52,288
49.4,3838,2.6,343,9.01,311,3.68,332,2.72,300
49.97,3520,2.93,371,8.82,345,4.17,356,3.25,319
41.82,3343,2.67,300,8.67,286,3.89,289,3.56,255
41.87,3128,2.9,349,7.41,261,3.83,339,3.64,316
50.1,3647,2.77,283,8.22,304,3.61,270,3.18,256
44.03,3471,2.66,335,6.9,262,3.24,320,3.43,300
39.52,3062,2.48,346,7.86,272,3.17,332,2.79,291
39.46,3138,2.44,374,8.8,338,3.84,357,2.71,313
47.72,3498,2.84,307,9.23,348,3.31,293,3.15,264
47.56,3592,2.34,322,9.1,279,3.14,309,2.78,278
44.78,3391,2.45,330,8.73,266,3.24,315,2.98,282
46.04,3674,2.75,308,8.59,311,3.42,295,3.63,276
48.31,3418,2.89,340,9.95,333,3.8,326,3.52,285
45.01,3288,3.25,316,10.53,338,4.51,304,3.23,278
46.98,3378,2.98,327,9.36,335,4.47,313,3.35,287
51.9,3772,2.81,347,7.84,262,4.06,338,3.06,306
46.61,3489,2.68,306,8.71,308,3.53,292,3.06,276
43.81,3230,2.9,341,7.75,268,3.45,325,3.56,304
41.11,3040,3.02,324,8.31,298,3.93,317,3.4,282
38.59,3027,2.22,352,10.26,349,3.28,336,2.85,317
39.52,3134,2.82,359,7.06,261,3.71,350,2.71,315
45.26,3200,2.87,288,9.75,310,3.79,279,3.85,259
53.25,3839,2.56,289,7.25,268,3.62,277,2.98,254
49.26,3779,2.62,318,9.53,325,3.54,310,3.55,287
53.39,3929,2.94,298,6.66,258,3.61,285,3.21,262
41.8,3032,2.5,330,9.1,320,3.38,315,2.68,280
41.77,3047,2.38,332,6.97,277,3.7,320,3.0,296
47.82,3502,2.71,341,9.08,327,3.34,334,2.96,301
43.4,3406,2.39,345,10.67,344,3.05,335,2.64,305
50.07,3573,2.19,307,7.88,301,3.18,295,2.71,264
48.35,3727,3.27,334,9.93,332,4.22,318,3.0,278
50.37,3804,2.56,301,7.92,265,3.54,289,2.72,257
42.46,3098,2.9,281,10.49,318,3.68,273,2.97,254
49.64,3683,2.67,305,9.81,348,3.5,293,2.73,278
53.35,3871,2.81,331,7.38,261,4.32,319,3.69,296
48.94,3725,2.54,368,8.16,274,3.59,352,2.64,317
56.29,3986,2.63,319,7.73,301,3.48,311,3.18,294
50.62,3546,3.1,289,10.68,334,3.92,277,3.6,251
51.91,3960,3.11,319,10.48,349,4.2,307,3.22,276
51.96,3738,2.47,325,9.09,302,3.13,309,2.96,285
51.08,3612,3.15,332,8.8,272,4.21,322,3.05,285
53.29,3942,2.5,304,7.61,265,3.62,292,3.25,275
49.09,3461,2.86,324,8.3,306,3.57,309,3.02,292
46.18,3642,2.47,318,8.2,288,3.21,310,2.73,276
53.62,3768,2.49,367,9.57,302,3.35,350,2.4,318
39.64,3004,2.92,314,8.62,291,3.99,301,3.28,269
43.25,3217,2.9,292,10.22,307,3.65,285,2.95,260
45.65,3502,2.35,318,7.45,288,3.53,309,3.44,287
51.39,3766,3.05,301,8.53,263,3.88,289,3.27,255
47.48,3397,3.03,315,9.56,344,3.75,308,3.52,272
48.49,3870,2.77,345,6.37,254,3.11,332,2.59,296
48.4,3794,2.9,328,8.03,284,3.83,318,3.1,295
43.15,3392,2.41,302,8.56,336,3.43,290,2.56,261
44.22,3206,2.9,292,10.57,342,3.65,285,3.71,262
42.82,3014,2.62,346,8.62,324,3.67,330,3.68,311
52.81,3857,3.26,371,7.56,267,4.38,353,3.23,309
47.14,3553,2.3,327,8.74,325,3.06,311,2.84,292
53.11,3891,2.2,379,8.42,258,3.2,363,2.77,317
44.2,3460,2.38,286,10.26,323,3.17,279,3.3,254
50.75,3690,2.72,320,9.8,307,3.5,306,2.56,286
44.87,3574,2.67,317,7.21,266,3.44,310,2.63,280
51.8,3863,3.25,301,6.66,256,4.11,294,3.35,258
47.72,3742,2.38,348,7.87,295,3.43,337,2.94,300
45.04,3240,2.4,326,8.65,262,3.56,315,2.85,278
48.07,3563,3.08,337,7.47,289,4.06,323,3.14,289
40.2,3095,2.55,339,8.68,291,3.91,325,2.89,290
